Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,7,20,1,2310.2,2281.93,2303.54,-0.877846073933%,0.060913349665%,0.698056035493%,-20.28,1.39,16.08,2,Behall
2021,7,19,0,2330.48,2280.54,2287.46,-1.054718341286%,-2.261745025301%,-2.244410831228%,-24.58,-51.58,-51.34,1,Kop
2021,7,16,4,2355.06,2332.12,2338.8,-0.421645308400%,-0.243984014545%,-0.243287155806%,-9.93,-5.69,-5.69,-3,Behall
2021,7,15,3,2364.99,2337.81,2344.49,0.266808739149%,-0.026092796249%,-0.505440415613%,6.31,-0.61,-11.85,-2,Behall
2021,7,14,2,2358.68,2338.42,2356.34,0.228093679516%,0.202273329855%,0.303436685707%,5.38,4.73,7.15,-1,Salj
2021,7,13,1,2353.3,2333.69,2349.19,0.645901500021%,0.877580141321%,0.487827719342%,15.2,20.48,11.46,4,Behall
2021,7,12,0,2338.1,2313.21,2337.73,0.716393652966%,0.613433281025%,0.778533021350%,16.75,14.19,18.2,3,Behall
2021,7,9,4,2321.35,2299.02,2319.53,0.005169405734%,0.865586206297%,1.275689471574%,0.12,19.9,29.59,2,Behall
2021,7,8,3,2321.23,2279.12,2289.94,-0.208510143329%,-0.904296395100%,-1.577770596610%,-4.84,-20.61,-36.13,1,Kop
2021,7,7,2,2326.07,2299.73,2326.07,0.571779869050%,0.638770638292%,1.606572459126%,13.3,14.69,37.37,-1,Salj
2021,7,6,1,2312.77,2285.04,2288.7,0.581553721295%,0.573294121766%,-0.453095643815%,13.45,13.1,-10.37,1,Kop
2021,7,5,0,2299.32,2271.94,2299.07,0.013482246925%,-0.349040907770%,0.441047901978%,0.31,-7.93,10.14,-1,Salj
2021,7,2,4,2299.01,2279.87,2288.93,0.849061117612%,1.116291718387%,0.657075576798%,19.52,25.45,15.04,3,Behall
2021,7,1,3,2279.49,2254.42,2273.89,-0.279009778503%,0.239529457688%,0.473197911948%,-6.36,5.4,10.76,2,Behall
2021,6,30,2,2285.85,2249.02,2263.13,0.153990856793%,-0.324141181492%,-0.734381144698%,3.52,-7.29,-16.62,1,Kop
2021,6,29,1,2282.33,2256.31,2279.75,0.234409572674%,0.101493145889%,1.026866981029%,5.35,2.29,23.41,-1,Salj
2021,6,28,0,2276.98,2254.02,2256.34,0.238912946095%,0.390413572195%,-0.647065601815%,5.44,8.8,-14.6,1,Kop
